,EventId,Type,Severity,TimeZone,AirportCode,City_x,State_x,date,ID,Accident_Severity,Description,City_y,State_y
33,W-1826,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-11,A-769265,2,Accident on I-90 Westbound at Exit 54 NY-400.,Buffalo,NY
34,W-1829,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-12,A-770482,2,Accident on I-90 Westbound at Exit 61 NY-815.,Ripley,NY
35,W-1830,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-15,A-773039,2,Two lanes blocked due to accident on Bronx River Pkwy both ways at Exit 9 Gun Hill Rd.,Bronx,NY
36,W-1831,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-27,A-752764,2,Accident on I-90 Westbound at Exit 51 NY-33.,Buffalo,NY
37,W-1833,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-28,A-752817,2,Accident on I-87 Southbound near New Baltimore Rd.,West Coxsackie,NY
38,W-1836,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-29,A-754235,2,Accident on I-90 Eastbound at Exit 59 NY-60 Bennett Rd.,Dunkirk,NY
39,W-1840,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-31,A-757107,2,Lane blocked due to accident on Fdr Dr Southbound at Exit 9 42nd St.,New York,NY
40,W-1844,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-01,A-757434,2,One lane blocked and right hand shoulder blocked due to accident on Taconic State Pkwy Southbound at Pudding St.,Putnam Valley,NY
41,W-1846,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-02,A-757725,2,Accident on I-90 Eastbound at Exit 30 NY-28 Mohawk St.,Herkimer,NY
42,W-1848,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-03,A-759200,4,4 left lane blocked due to accident on I-95 Northbound from FL-808 Glades Rd to FL-794 Yamato Rd.,Boca Raton,FL
43,W-1849,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-04,A-783853,2,Accident on I-90 Westbound at Exit 49 NY-78 Transit Rd.,Buffalo,NY
44,W-1851,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-05,A-799405,2,Accident on Florence Ave both ways at Pacific Blvd.,Huntington Park,CA
45,W-1852,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-06,A-800802,2,Left lane blocked due to accident on M-39 Southbound at McNichols Rd.,Detroit,MI
46,W-1855,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-09,A-801632,2,Accident on I-90 Westbound at Exit 30 NY-28 Mohawk St.,Herkimer,NY
47,W-1857,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-14,A-809103,2,Accident on I-190 Eastbound at Exits 1-52 54-61.,Buffalo,NY
48,W-1859,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-16,A-809519,3,Right lane blocked due to accident on I-75 Northbound at Exit 9 Otter Creek Rd.,La Salle,MI
49,W-1860,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-19,A-785284,2,Accident on Blue Hill River Rd at Hillside St.,Milton,MA
