,EventId,Type,Severity,TimeZone,AirportCode,City,State,date
214,W-1936,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-11-24
219,W-1941,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-01
220,W-1942,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-10
221,W-1943,Snow,Moderate,US/Mountain,K04V,Saguache,CO,2020-12-11
227,W-1949,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-12
228,W-1950,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-15
232,W-1954,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-18
236,W-1958,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-23
239,W-1961,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-27
240,W-1962,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-28
245,W-1967,Snow,Moderate,US/Mountain,K04V,Saguache,CO,2020-12-29
251,W-5020,Cold,Severe,US/Central,KAXS,Altus,OK,2020-01-03
254,W-5023,Fog,Severe,US/Central,KAXS,Altus,OK,2020-01-13
257,W-5026,Fog,Severe,US/Central,KAXS,Altus,OK,2020-01-14
259,W-5028,Fog,Severe,US/Central,KAXS,Altus,OK,2020-01-15
260,W-5029,Rain,Light,US/Central,KAXS,Altus,OK,2020-01-16
272,W-5041,Fog,Severe,US/Central,KAXS,Altus,OK,2020-01-18
280,W-5049,Rain,Light,US/Central,KAXS,Altus,OK,2020-01-28
295,W-5064,Rain,Light,US/Central,KAXS,Altus,OK,2020-02-05
310,W-5079,Rain,Light,US/Central,KAXS,Altus,OK,2020-02-12
313,W-5082,Cold,Severe,US/Central,KAXS,Altus,OK,2020-02-15
314,W-5083,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-02-16
333,W-5102,Rain,Light,US/Central,KAXS,Altus,OK,2020-02-25
339,W-5108,Fog,Severe,US/Central,KAXS,Altus,OK,2020-02-28
340,W-5109,Rain,Light,US/Central,KAXS,Altus,OK,2020-03-04
360,W-5129,Fog,Severe,US/Central,KAXS,Altus,OK,2020-03-12
367,W-5136,Rain,Light,US/Central,KAXS,Altus,OK,2020-03-14
377,W-5146,Rain,Light,US/Central,KAXS,Altus,OK,2020-03-15
381,W-5150,Rain,Light,US/Central,KAXS,Altus,OK,2020-03-16
387,W-5156,Rain,Light,US/Central,KAXS,Altus,OK,2020-03-17
403,W-5172,Rain,Light,US/Central,KAXS,Altus,OK,2020-03-18
419,W-5188,Rain,Light,US/Central,KAXS,Altus,OK,2020-03-21
425,W-5194,Fog,Severe,US/Central,KAXS,Altus,OK,2020-03-23
427,W-5196,Fog,Severe,US/Central,KAXS,Altus,OK,2020-03-27
437,W-5206,Rain,Light,US/Central,KAXS,Altus,OK,2020-03-31
450,W-5219,Rain,Light,US/Central,KAXS,Altus,OK,2020-04-05
452,W-5221,Fog,Severe,US/Central,KAXS,Altus,OK,2020-04-07
459,W-5228,Rain,Light,US/Central,KAXS,Altus,OK,2020-04-13
472,W-5241,Rain,Light,US/Central,KAXS,Altus,OK,2020-04-19
473,W-5242,Fog,Severe,US/Central,KAXS,Altus,OK,2020-04-20
475,W-5244,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-04-23
476,W-5245,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-04-25
480,W-5249,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-04-26
491,W-5260,Rain,Light,US/Central,KAXS,Altus,OK,2020-04-27
492,W-5261,Rain,Light,US/Central,KAXS,Altus,OK,2020-05-02
493,W-5262,Rain,Light,US/Central,KAXS,Altus,OK,2020-05-06
496,W-5265,Rain,Light,US/Central,KAXS,Altus,OK,2020-05-08
506,W-5275,Fog,Severe,US/Central,KAXS,Altus,OK,2020-05-13
510,W-5279,Rain,Light,US/Central,KAXS,Altus,OK,2020-05-14
519,W-5288,Rain,Light,US/Central,KAXS,Altus,OK,2020-05-16
531,W-5300,Rain,Light,US/Central,KAXS,Altus,OK,2020-05-20
533,W-5302,Rain,Light,US/Central,KAXS,Altus,OK,2020-05-21
539,W-5308,Cold,Severe,US/Central,KAXS,Altus,OK,2020-05-22
540,W-5309,Rain,Light,US/Central,KAXS,Altus,OK,2020-05-23
542,W-5311,Rain,Light,US/Central,KAXS,Altus,OK,2020-05-24
546,W-5315,Rain,Light,US/Central,KAXS,Altus,OK,2020-05-25
570,W-5339,Rain,Light,US/Central,KAXS,Altus,OK,2020-06-21
571,W-5340,Rain,Light,US/Central,KAXS,Altus,OK,2020-06-23
575,W-5344,Rain,Light,US/Central,KAXS,Altus,OK,2020-07-02
585,W-5354,Rain,Light,US/Central,KAXS,Altus,OK,2020-07-10
597,W-5366,Rain,Light,US/Central,KAXS,Altus,OK,2020-07-21
601,W-5370,Rain,Light,US/Central,KAXS,Altus,OK,2020-07-23
605,W-5374,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-07-26
609,W-5378,Rain,Light,US/Central,KAXS,Altus,OK,2020-07-28
618,W-5387,Rain,Light,US/Central,KAXS,Altus,OK,2020-07-29
623,W-5392,Rain,Light,US/Central,KAXS,Altus,OK,2020-08-02
626,W-5395,Rain,Light,US/Central,KAXS,Altus,OK,2020-08-03
627,W-5396,Rain,Light,US/Central,KAXS,Altus,OK,2020-08-05
635,W-5404,Rain,Light,US/Central,KAXS,Altus,OK,2020-08-06
637,W-5406,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-08-08
638,W-5407,Rain,Light,US/Central,KAXS,Altus,OK,2020-08-11
641,W-5410,Rain,Light,US/Central,KAXS,Altus,OK,2020-08-12
642,W-5411,Rain,Light,US/Central,KAXS,Altus,OK,2020-08-17
645,W-5414,Rain,Light,US/Central,KAXS,Altus,OK,2020-08-20
650,W-5419,Rain,Light,US/Central,KAXS,Altus,OK,2020-08-22
651,W-5420,Rain,Light,US/Central,KAXS,Altus,OK,2020-08-30
658,W-5427,Rain,Light,US/Central,KAXS,Altus,OK,2020-09-01
661,W-5430,Rain,Light,US/Central,KAXS,Altus,OK,2020-09-02
672,W-5441,Rain,Light,US/Central,KAXS,Altus,OK,2020-09-03
675,W-5444,Fog,Severe,US/Central,KAXS,Altus,OK,2020-09-04
679,W-5448,Precipitation,UNK,US/Central,KAXS,Altus,OK,2020-09-08
693,W-5462,Rain,Light,US/Central,KAXS,Altus,OK,2020-09-11
698,W-5467,Fog,Severe,US/Central,KAXS,Altus,OK,2020-09-12
701,W-5470,Fog,Severe,US/Central,KAXS,Altus,OK,2020-09-13
703,W-5472,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-09-15
704,W-5473,Fog,Severe,US/Central,KAXS,Altus,OK,2020-09-16
706,W-5475,Fog,Severe,US/Central,KAXS,Altus,OK,2020-09-24
712,W-5481,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-09-28
714,W-5483,Fog,Severe,US/Central,KAXS,Altus,OK,2020-10-10
717,W-5486,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-10-12
719,W-5488,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-10-13
721,W-5490,Cold,Severe,US/Central,KAXS,Altus,OK,2020-10-15
722,W-5491,Fog,Severe,US/Central,KAXS,Altus,OK,2020-10-18
723,W-5492,Rain,Light,US/Central,KAXS,Altus,OK,2020-10-20
725,W-5494,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-10-22
726,W-5495,Rain,Light,US/Central,KAXS,Altus,OK,2020-10-23
735,W-5504,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-10-25
759,W-5528,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-10-27
779,W-5548,Rain,Light,US/Central,KAXS,Altus,OK,2020-10-28
801,W-5570,Rain,Light,US/Central,KAXS,Altus,OK,2020-10-29
805,W-5574,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-10-30
807,W-5576,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-11-05
