,EventId,Type,Severity,TimeZone,AirportCode,City,State,date
3383,W-19834,Rain,Light,US/Mountain,KDIJ,Driggs,ID,2020-11-19
3392,W-19843,Fog,Severe,US/Mountain,KDIJ,Driggs,ID,2020-11-20
3471,W-19922,Snow,Light,US/Mountain,KDIJ,Driggs,ID,2020-12-26
3598,W-23374,Fog,Moderate,US/Eastern,KGRR,Grand Rapids,MI,2020-02-02
3822,W-23598,Rain,Light,US/Eastern,KGRR,Grand Rapids,MI,2020-05-19
3852,W-23628,Rain,Light,US/Eastern,KGRR,Grand Rapids,MI,2020-06-11
3854,W-23630,Rain,Light,US/Eastern,KGRR,Grand Rapids,MI,2020-06-12
3883,W-23659,Fog,Moderate,US/Eastern,KGRR,Grand Rapids,MI,2020-07-08
3913,W-23689,Rain,Light,US/Eastern,KGRR,Grand Rapids,MI,2020-07-22
3920,W-23696,Fog,Moderate,US/Eastern,KGRR,Grand Rapids,MI,2020-07-31
3921,W-23697,Rain,Light,US/Eastern,KGRR,Grand Rapids,MI,2020-08-01
3932,W-23708,Fog,Moderate,US/Eastern,KGRR,Grand Rapids,MI,2020-08-07
3997,W-23773,Rain,Light,US/Eastern,KGRR,Grand Rapids,MI,2020-10-04
3999,W-23775,Fog,Severe,US/Eastern,KGRR,Grand Rapids,MI,2020-10-05
4093,W-23869,Fog,Moderate,US/Eastern,KGRR,Grand Rapids,MI,2020-12-09
4133,W-23909,Snow,Light,US/Eastern,KGRR,Grand Rapids,MI,2020-12-25
4485,W-25999,Storm,Severe,US/Central,KHUT,Hutchinson,KS,2020-07-30
5046,W-28721,Rain,Light,US/Mountain,KEMM,Kemmerer,WY,2020-05-30
5128,W-28803,Cold,Severe,US/Mountain,KEMM,Kemmerer,WY,2020-08-14
5165,W-28840,Cold,Severe,US/Mountain,KEMM,Kemmerer,WY,2020-10-02
5170,W-28845,Cold,Severe,US/Mountain,KEMM,Kemmerer,WY,2020-10-06
5968,W-33491,Fog,Severe,US/Eastern,KPSF,Pittsfield,MA,2020-09-17
6093,W-33616,Fog,Severe,US/Eastern,KPSF,Pittsfield,MA,2020-10-31
6096,W-33619,Rain,Light,US/Eastern,KPSF,Pittsfield,MA,2020-11-02
6100,W-33623,Snow,Light,US/Eastern,KPSF,Pittsfield,MA,2020-11-03
7517,W-41187,Rain,Moderate,US/Eastern,KNBT,Davis,NC,2020-02-21
14714,W-73577,Fog,Severe,US/Pacific,KSPB,Scappoose,OR,2020-11-04
